sk_date,bk_product,idx_value
20060215,h11001,113.22
20060216,h11001,113.19
20060217,h11001,113.19
20060220,h11001,113.18
20060221,h11001,113.11
20060222,h11001,113.02
20060223,h11001,113.07
20060224,h11001,113.07
20060227,h11001,113.17
20060228,h11001,113.11
20060301,h11001,113.18
20060302,h11001,113.29
20060303,h11001,113.26
20060306,h11001,113.29
20060307,h11001,113.29
20060308,h11001,113.35
20060309,h11001,113.44
20060310,h11001,113.49
20060313,h11001,113.51
20060314,h11001,113.52
20060315,h11001,113.5
20060316,h11001,113.5
20060317,h11001,113.52
20060320,h11001,113.58
20060321,h11001,113.51
20060322,h11001,113.39
20060323,h11001,113.36
20060324,h11001,113.27
20060327,h11001,113.26
20060328,h11001,113.32
20060329,h11001,113.32
20060330,h11001,113.38
20060331,h11001,113.37
20060403,h11001,113.38
20060404,h11001,113.26
20060405,h11001,113.08
20060406,h11001,113.16
20060407,h11001,113.22
20060410,h11001,113.27
20060411,h11001,113.23
20060412,h11001,113.18
20060413,h11001,113.2
20060414,h11001,113.01
20060417,h11001,112.89
20060418,h11001,112.85
20060419,h11001,112.86
20060420,h11001,112.88
20060421,h11001,112.85
20060424,h11001,112.81
20060425,h11001,112.74
20060426,h11001,112.74
20060427,h11001,112.85
20060428,h11001,112.94
20060508,h11001,113.01
20060509,h11001,113.06
20060510,h11001,113.13
20060511,h11001,113.27
20060512,h11001,113.31
20060515,h11001,113.26
20060516,h11001,113.3
20060517,h11001,113.3
20060518,h11001,113.3
20060519,h11001,113.34
20060522,h11001,113.3
20060523,h11001,113.33
20060524,h11001,113.39
20060525,h11001,113.42
20060526,h11001,113.39
20060529,h11001,113.34
20060530,h11001,113.4
20060531,h11001,113.35
20060601,h11001,113.28
20060602,h11001,113.17
20060605,h11001,113.17
20060606,h11001,113.06
20060607,h11001,113.09
20060608,h11001,113.05
20060609,h11001,112.94
20060612,h11001,112.94
20060613,h11001,112.88
20060614,h11001,112.87
20060615,h11001,112.96
20060616,h11001,112.81
20060619,h11001,112.65
20060620,h11001,112.58
20060621,h11001,112.57
20060622,h11001,112.5
20060623,h11001,112.42
20060626,h11001,112.49
20060627,h11001,112.6
20060628,h11001,112.69
20060629,h11001,112.69
20060630,h11001,112.73
20060703,h11001,112.71
20060704,h11001,112.73
20060705,h11001,112.71
20060706,h11001,112.71
20060707,h11001,112.79
20060710,h11001,112.82
20060711,h11001,112.82
20060712,h11001,112.87
20060713,h11001,112.93
20060714,h11001,112.88
20060717,h11001,112.95
20060718,h11001,112.96
20060719,h11001,112.93
20060720,h11001,112.8
20060721,h11001,112.73
20060724,h11001,112.59
20060725,h11001,112.61
20060726,h11001,112.67
20060727,h11001,112.75
20060728,h11001,112.76
20060731,h11001,112.77
20060801,h11001,112.77
20060802,h11001,112.73
20060803,h11001,112.81
20060804,h11001,112.73
20060807,h11001,112.71
20060808,h11001,112.66
20060809,h11001,112.66
20060810,h11001,112.76
20060811,h11001,112.78
20060814,h11001,112.84
20060815,h11001,112.83
20060816,h11001,112.91
20060817,h11001,112.96
20060818,h11001,113.04
20060821,h11001,112.92
20060822,h11001,113.01
20060823,h11001,113.02
20060824,h11001,113.03
20060825,h11001,113.07
20060828,h11001,113.05
20060829,h11001,113.05
20060830,h11001,113.04
20060831,h11001,113.13
20060901,h11001,113.07
20060904,h11001,113.1
20060905,h11001,113.14
20060906,h11001,113.15
20060907,h11001,113.15
20060908,h11001,113.16
20060911,h11001,113.23
20060912,h11001,113.25
20060913,h11001,113.25
20060914,h11001,113.3
20060915,h11001,113.34
20060918,h11001,113.42
20060919,h11001,113.48
20060920,h11001,113.55
20060921,h11001,113.55
20060922,h11001,113.62
20060925,h11001,113.71
20060926,h11001,113.79
20060927,h11001,113.84
20060928,h11001,113.96
20060929,h11001,114.13
20061009,h11001,114.29
20061010,h11001,114.23
20061011,h11001,114.33
20061012,h11001,114.35
20061013,h11001,114.41
20061016,h11001,114.44
20061017,h11001,114.47
20061018,h11001,114.49
20061019,h11001,114.56
20061020,h11001,114.56
20061023,h11001,114.61
20061024,h11001,114.65
20061025,h11001,114.72
20061026,h11001,114.78
20061027,h11001,114.7
20061030,h11001,114.73
20061031,h11001,114.73
20061101,h11001,114.75
20061102,h11001,114.82
20061103,h11001,114.85
20061106,h11001,114.82
20061107,h11001,114.68
20061108,h11001,114.7
20061109,h11001,114.78
20061110,h11001,114.78
20061113,h11001,114.78
20061114,h11001,114.77
20061115,h11001,114.77
20061116,h11001,114.75
20061117,h11001,114.8
20061120,h11001,114.8
20061121,h11001,114.79
20061122,h11001,114.74
20061123,h11001,114.69
20061124,h11001,114.67
20061127,h11001,114.69
20061128,h11001,114.73
20061129,h11001,114.71
20061130,h11001,114.83
20061201,h11001,114.82
20061204,h11001,114.84
20061205,h11001,114.89
20061206,h11001,114.83
20061207,h11001,114.8
20061208,h11001,114.86
20061211,h11001,114.9
20061212,h11001,114.86
20061213,h11001,114.7
20061214,h11001,114.72
20061215,h11001,114.89
20061218,h11001,114.85
20061219,h11001,114.79
20061220,h11001,114.61
20061221,h11001,114.57
20061222,h11001,114.6
20061225,h11001,114.52
20061226,h11001,114.4
20061227,h11001,114.55
20061228,h11001,114.53
20061229,h11001,114.54
20070104,h11001,114.56
20070105,h11001,114.69
20070108,h11001,114.71
20070109,h11001,114.72
20070110,h11001,114.86
20070111,h11001,114.79
20070112,h11001,114.77
20070115,h11001,114.77
20070116,h11001,114.86
20070117,h11001,114.84
20070118,h11001,114.95
20070119,h11001,115.01
20070122,h11001,115.02
20070123,h11001,114.99
20070124,h11001,115.04
20070125,h11001,115.02
20070126,h11001,114.99
20070129,h11001,115.05
20070130,h11001,115.07
20070131,h11001,115.05
20070201,h11001,115.04
20070202,h11001,114.97
20070205,h11001,114.99
20070206,h11001,114.97
20070207,h11001,114.99
20070208,h11001,114.97
20070209,h11001,114.97
20070212,h11001,114.96
20070213,h11001,114.9
20070214,h11001,114.92
20070215,h11001,114.94
20070216,h11001,114.96
20070226,h11001,114.56
20070227,h11001,114.54
20070228,h11001,114.66
20070301,h11001,114.77
20070302,h11001,114.9
20070305,h11001,114.88
20070306,h11001,114.89
20070307,h11001,114.93
20070308,h11001,114.92
20070309,h11001,115.13
20070312,h11001,115.14
20070313,h11001,115.11
20070314,h11001,114.93
20070315,h11001,114.91
20070316,h11001,114.87
20070319,h11001,114.83
20070320,h11001,114.85
20070321,h11001,114.82
20070322,h11001,114.8
20070323,h11001,114.82
20070326,h11001,114.84
20070327,h11001,114.86
20070328,h11001,114.85
20070329,h11001,114.87
20070330,h11001,114.8
20070402,h11001,114.86
20070403,h11001,114.86
20070404,h11001,114.89
20070405,h11001,114.9
20070406,h11001,114.9
20070409,h11001,115.02
20070410,h11001,114.94
20070411,h11001,114.94
20070412,h11001,114.61
20070413,h11001,114.63
20070416,h11001,114.63
20070417,h11001,114.56
20070418,h11001,114.37
20070419,h11001,114.2
20070420,h11001,114.16
20070423,h11001,114.07
20070424,h11001,114.03
20070425,h11001,114.03
20070426,h11001,114.21
20070427,h11001,114.28
20070430,h11001,114.55
20070508,h11001,114.52
20070509,h11001,114.51
20070510,h11001,114.44
20070511,h11001,114.36
20070514,h11001,114.39
20070515,h11001,114.18
20070516,h11001,114.09
20070517,h11001,113.89
20070518,h11001,113.85
20070521,h11001,113.68
20070522,h11001,113.59
20070523,h11001,113.52
20070524,h11001,113.17
20070525,h11001,113.06
20070528,h11001,113.14
20070529,h11001,113.21
20070530,h11001,113.28
20070531,h11001,113.23
20070601,h11001,113.21
20070604,h11001,113.2
20070605,h11001,113.18
20070606,h11001,113.11
20070607,h11001,113.14
20070608,h11001,113.05
20070611,h11001,113.03
20070612,h11001,113.0
20070613,h11001,112.88
20070614,h11001,112.82
20070615,h11001,112.72
20070618,h11001,112.56
20070619,h11001,112.46
20070620,h11001,112.44
20070621,h11001,112.35
20070622,h11001,112.26
20070625,h11001,112.22
20070626,h11001,112.17
20070627,h11001,112.13
20070628,h11001,112.06
20070629,h11001,112.1
20070702,h11001,112.19
20070703,h11001,112.19
